sample,Category,TRDJ1,TRDJ2,TRDJ3,TRDJ4
BW_1__TRD.csv,before,0.8712694877505568,0.0075723830734966,0.1198218262806236,0.0013363028953229
BW_2__TRD.csv,before,0.9478138222849084,0.0141043723554301,0.0380818053596615,
BW_8__TRD.csv,before,0.9449152542372882,0.0211864406779661,0.0338983050847457,
BW_5__TRD.csv,before,0.9612724757952974,0.0221300138312586,0.0110650069156293,0.0055325034578146
BW_11__TRD.csv,before,0.8807017543859649,0.094235588972431,0.0225563909774436,0.0025062656641604
BW_12__TRD.csv,before,0.939297124600639,0.0127795527156549,0.0457933972310969,0.0021299254526091
BW_13__TRD.csv,before,0.5873465533522191,0.0066100094428706,0.4060434372049103,
BW_15__TRD.csv,before,0.588135593220339,0.003954802259887,0.4070621468926553,0.0008474576271186
BW_17__TRD.csv,after,0.8504746835443038,0.110759493670886,0.0332278481012658,0.0055379746835443
BW_4__TRD.csv,after,0.8956422018348624,0.021788990825688,0.0768348623853211,0.0057339449541284
BW_9__TRD.csv,after,0.8651315789473685,0.0164473684210526,0.1118421052631579,0.006578947368421
BW_6__TRD.csv,after,0.8648148148148148,0.0166666666666666,0.1092592592592592,0.0092592592592592
BW_7__TRD.csv,after,0.925357873210634,0.0122699386503067,0.058282208588957,0.0040899795501022
BW_16__TRD.csv,after,0.8975602126994057,0.0273694088207694,0.0710040663121676,0.0040663121676571
BW_14__TRD.csv,after,0.9316239316239316,0.0256410256410256,0.0341880341880341,0.0085470085470085
BW_10__TRD.csv,after,0.9139966273187184,0.0168634064080944,0.0674536256323777,0.0016863406408094
