sample,therapy,top20TRG
BW_1,before,0.6967762240906434
BW_2,before,0.8245299910474485
BW_5,before,0.6947919326014808
BW_8,before,0.8353702372393961
BW_11,before,0.7802456671714623
BW_12,before,0.7724006452559026
BW_13,before,0.6955993192317044
BW_15,before,0.7604893942416384
BW_4,after,0.6695091514143094
BW_6,after,0.7274436090225563
BW_7,after,0.7852534562211981
BW_9,after,0.6964924838940587
BW_10,after,0.631937984496124
BW_14,after,0.6573208722741433
BW_16,after,0.67124227865477
BW_17,after,0.7220158140421072
