sample,Category,TRAJ1,TRAJ10,TRAJ11,TRAJ12,TRAJ13,TRAJ14,TRAJ15,TRAJ16,TRAJ17,TRAJ18,TRAJ19,TRAJ2,TRAJ20,TRAJ21,TRAJ22,TRAJ23,TRAJ24,TRAJ25,TRAJ26,TRAJ27,TRAJ28,TRAJ29,TRAJ3,TRAJ30,TRAJ31,TRAJ32,TRAJ33,TRAJ34,TRAJ35,TRAJ36,TRAJ37,TRAJ38,TRAJ39,TRAJ4,TRAJ40,TRAJ41,TRAJ42,TRAJ43,TRAJ44,TRAJ45,TRAJ46,TRAJ47,TRAJ48,TRAJ49,TRAJ5,TRAJ50,TRAJ51,TRAJ52,TRAJ53,TRAJ54,TRAJ56,TRAJ57,TRAJ58,TRAJ59,TRAJ6,TRAJ60,TRAJ61,TRAJ7,TRAJ8,TRAJ9
BW_15__TRA.csv,before,,0.0139190123221393,0.0097321861270666,0.0062842116134772,0.0165010208864631,,0.0155476638780974,0.0118454608289439,0.0114243948169157,0.0040914904942361,,,0.0180184474581118,0.0090171683707923,0.026614549816876,0.03808661248421,0.00379753874999,7.150177562742808e-05,0.0109636055962056,0.0097401307688029,0.0169459208237004,0.0203144489199259,0.0640099784700208,0.0146737532870955,0.0026058424895329,0.0108762145371054,0.0275996853921872,0.0203700614120806,0.0041153244194453,0.0074123507400433,0.0164692423195176,0.0042106601202818,0.0180978938754756,0.0109636055962056,0.0544207958942091,0.0140143480229759,0.0464125970239372,0.0255499678242009,0.0120917447227717,0.0334389970684272,0.0003575088781371,0.0131086588650284,0.0319851276306695,0.0329940971311898,0.0832280668303262,0.0040517672855542,,0.0470878915715295,0.0145545836610498,0.0137362855622025,0.0048780100261378,0.0066099419246689,0.0079366970946445,,0.0382216713937285,,4.766785041828539e-05,0.0049574564435016,0.0121235232897172,0.0538726156143988
BW_1__TRA.csv,before,,0.0327702273593293,0.0270439053304542,0.0070599940725686,0.0124158516448621,1.0584698759473303e-05,0.0085736059951733,0.0062449722680892,0.0139929717600237,0.0046466827554087,,1.0584698759473303e-05,0.0791629620221008,0.0077056606968965,0.0100237097252212,0.0152419662136415,0.0034294423980693,8.467759007578644e-05,0.0123311740547864,0.007335196240315,0.0119395402006858,0.0257949108768364,0.0087852999703628,0.0099707862314238,0.0024979889072357,0.0101401414115754,0.0116431686354206,0.0121935729709132,0.0055887209450019,0.0084571743088191,0.0240272661840044,0.007716245395656,0.0151784580210847,0.008901731656717,0.016056988018121,0.0062449722680892,0.0335534950675303,0.0093780431008933,0.0078432617807697,0.0135060756170879,0.0003704644565815,0.0041174478174351,0.0200050806554045,0.0136013379059231,0.3276175960032177,0.0036305516744993,8.467759007578644e-05,0.0144057750116431,0.0209259494474787,0.0080655404547186,0.0048266226343198,0.0104576823743596,0.0119077861044074,,0.0206719166772513,4.233879503789322e-05,2.116939751894661e-05,0.0037469833608535,0.0115584910453448,0.0264405775011643
BW_2__TRA.csv,before,,0.0177920157713159,0.009561360275998,0.005618531296205,0.0191720059142434,,0.0145145391818629,0.0084277969443075,0.013504189255791,0.0105717102020699,,,0.0277476589452932,0.0153770330211927,0.0164613109906357,0.0161655988171513,0.00418925579103,2.464268112370626e-05,0.0159191720059142,0.0106209955643173,0.0128634795465746,0.0253573188762937,0.0124199112863479,0.0205273533760473,0.0032774765894529,0.0110399211434204,0.0273780187284376,0.0184820108427796,0.0078610152784622,0.0250369640216855,0.0310744208969935,0.0080335140463282,0.0239526860522424,0.0069738787580088,0.0226219812715623,0.0064070970921636,0.0302365697387875,0.0137752587481518,0.0419172005914243,0.0300887136520453,0.0003449975357318,0.0093395761458846,0.0384672252341054,0.0255544603252833,0.0127156234598324,0.0062099556431739,,0.0356086742237555,0.0411286347954657,0.0658698866436668,0.0473878758008871,0.0151306062099556,0.0234105470675209,,0.0426071956628881,,2.464268112370626e-05,0.0052981764415968,0.0113849186791522,0.0345243962543124
BW_5__TRA.csv,before,,0.0183889298116384,0.0103388403662001,0.0063532568662527,0.018770388298432,,0.0367383984005051,0.0089840050510365,0.0179417026202251,0.0061033357886983,,,0.0544959486477954,0.0222561296432705,0.0198095338314216,0.0146006524255498,0.006313795643481,6.576870461959382e-05,0.0087472377144059,0.0117331369041355,0.0242028833000105,0.0177838577291381,0.0114963695675049,0.0165737135641376,0.0024729032936967,0.0109439124487004,0.03108228980322,0.0204935283594654,0.0071293275807639,0.0142586551615279,0.039816373776702,0.0093917710196779,0.0166131747869093,0.0177049352835946,0.0258865621382721,0.0144822687572345,0.0327396611596338,0.0136798905608755,0.0186783121119646,0.0215852888561506,0.0007629169735872,0.0083657792276123,0.0500105229927391,0.0265310954435441,0.0198095338314216,0.0184283910344101,,0.0760154687993265,0.0257550247290329,0.0454593286330632,0.0089971587919604,0.0108518362622329,0.012614437546038,,0.0232689676944122,1.3153740923918762e-05,0.0001052299273913,0.0056955698200568,0.0160081027044091,0.0226507418709881
BW_8__TRA.csv,before,,0.0112054329371816,0.1138087153367289,0.0044708545557442,0.0634125636672326,,0.0073853989813242,0.0187323146576117,0.0132710809281267,0.002405206564799,,,0.0453876627051499,0.0042161856253537,0.0131578947368421,0.0165817770232031,0.0026315789473684,2.829654782116582e-05,0.0038483305036785,0.0071873231465761,0.0065647990945104,0.004951895868704,0.0192416525183927,0.0297962648556876,0.0011884550084889,0.0038200339558573,0.0601584606677985,0.0059705715902659,0.0018958687040181,0.0058573853989813,0.0271646859083191,0.0127617430673457,0.0155631013016412,0.0090831918505942,0.0147425014148273,0.1182512733446519,0.0203452178834182,0.0064233163554046,0.0286644029428409,0.0169779286926994,0.0009903791737408,0.0040464063384267,0.0292869269949066,0.0939728353140916,0.010243350311262,0.0020939445387662,,0.0076117713638936,0.0169496321448783,0.0237973967176004,0.0014997170345217,0.011092246745897,0.0047538200339558,,0.0314657611771363,,,0.0065365025466893,0.0081211092246745,0.0103848330503678
BW_11__TRA.csv,before,,0.0414052115854223,0.0155945720379586,0.0098451361627152,0.0191338753052455,1.545547278291243e-05,0.016228246422058,0.0119470804611913,0.0123180118079812,0.007233161262403,,,0.0279125838459398,0.0095051157614911,0.0215758400049457,0.0185929337578436,0.0269543445333992,3.091094556582486e-05,0.0232295755927173,0.0139562919229699,0.0291026552502241,0.0284998918116905,0.0187783994312386,0.0221167815523476,0.0026737967914438,0.0117925257333621,0.0250378659083181,0.0840623164662607,0.0128125869370344,0.0107106426385583,0.0219158604061698,0.0082686779388581,0.019412073815338,0.0203548576550956,0.0179283484281784,0.0081604896293777,0.0235077741028098,0.0141726685419306,0.0244041915242187,0.0362894500942783,0.000880961948626,0.0137708262495749,0.0567370405860715,0.0260424716392074,0.01358536057618,0.004760285617137,,0.0241259930141263,0.0232759420110661,0.0128589533553831,0.0074340824085808,0.0183611016660999,0.0219467713517356,,0.0195666285431671,1.545547278291243e-05,4.636641834873729e-05,0.0041729776513863,0.0163518902043213,0.0205866897468393
BW_12__TRA.csv,before,,0.0232975066359166,0.0128105826552369,0.0093990687959618,0.0198946956181193,1.7405682955484965e-05,0.0203385405334841,0.0089726295635524,0.0157695487576693,0.0079369914277011,8.702841477742482e-06,,0.032983769200644,0.0193029023976328,0.0166833471128323,0.023924111222314,0.0124624689961272,2.610852443322745e-05,0.0142378486575867,0.0139158435229102,0.0127409599234149,0.0211043905835255,0.019938209825508,0.016187285148601,0.0091727949175405,0.0116095905313084,0.0203472433749619,0.0225577651103085,0.0054131673991558,0.0111309342500326,0.0241329794177799,0.0074409294634698,0.0231930725381837,0.0177712022975501,0.0217135894869674,0.0053087333014229,0.0369087507071058,0.0233584265262608,0.0266219920804142,0.0454723467212044,0.000469953439798,0.0122274922762281,0.0432183107784691,0.0293807928288586,0.0140637918280318,0.0132196162046908,8.702841477742482e-06,0.1005178190679256,0.0240285453200469,0.0181715330055263,0.011557373482442,0.0168399982594317,0.0118967843000739,,0.024803098211566,8.702841477742482e-06,6.091989034419738e-05,0.0107044950176232,0.0159697141116574,0.0187459205430573
BW_13__TRA.csv,before,,0.0165536056628815,0.0124059873175047,0.0084980091431942,0.0173278277540185,1.8433859312785724e-05,0.0192265152632355,0.0148023890281669,0.0124797227547559,0.0060094381359681,,,0.0217703878483999,0.0104519982303495,0.0282591063265005,0.0364990414393157,0.0047190679840731,7.37354372511429e-05,0.0143968441232856,0.0114474266332399,0.0173831293319569,0.0179177112520277,0.0637627193629258,0.0158899867276212,0.0028756820527945,0.0123322518802536,0.0287568205279457,0.0226736469547264,0.0050877451703288,0.0084427075652558,0.0168301135525733,0.0052352160448311,0.0173646954726441,0.0132539448458929,0.0414024480165167,0.0120926117091874,0.0400199085680578,0.023484736764489,0.013419849579708,0.0325541955463795,0.0005898834980091,0.0110234478690458,0.0286830850906945,0.0308398466302905,0.0734773632207639,0.0042582215012535,,0.0352086712874207,0.0165720395221943,0.0140097330777171,0.0052352160448311,0.0079818610824362,0.0082952366907535,,0.0558361598584279,1.8433859312785724e-05,3.686771862557145e-05,0.006709924789854,0.014452145701224,0.0410522046895738
BW_4__TRA.csv,after,,0.0191276692412539,0.0081932454944722,0.0049825836740875,0.0271997576859003,,0.0134635771618961,0.0075268817204301,0.009631985461154,0.0073148568832348,,,0.0260790549750113,0.0124791761320611,0.0164773587763137,0.016295623201575,0.0088898985309707,1.5144631228229593e-05,0.0367560199909132,0.0226866575798879,0.0139784946236559,0.0179918218991367,0.0243980009086778,0.0227018022111161,0.0019082235347569,0.0127820687566257,0.0289868241708314,0.0452218688474935,0.0045585339996971,0.0104497955474784,0.0256398606693927,0.0060427078600636,0.0180372557928214,0.016628805088596,0.0384673633197031,0.0056489474481296,0.041359987884295,0.0117522338331061,0.0243374223837649,0.0278509768287142,0.0007117976677267,0.009435105255187,0.0312736634862941,0.0209753142510979,0.025397546569741,0.0050128729365439,,0.0877631379675904,0.036150234741784,0.01385733757383,0.009828865667121,0.016098742995608,0.0214750870816295,,0.031334242011207,3.0289262456459185e-05,3.0289262456459185e-05,0.0089201877934272,0.02335302135393,0.0224897773739209
BW_17__TRA.csv,after,,0.015504461308063,0.0153660286178125,0.0162973030794981,0.0381319137690187,,0.0231434288518896,0.0074627804835076,0.0069593888825964,0.013742590704874,,1.258479002277847e-05,0.0283157775512515,0.0138055146549879,0.0165238292999081,0.0207145643774933,0.0092246510866966,6.292395011389235e-05,0.015504461308063,0.0353506751739847,0.013176275153849,0.0187387523439171,0.0219352890097028,0.0592240218471954,0.0022526774140773,0.0110620304300222,0.0218220258994978,0.0819521526283334,0.0076263827538037,0.0121065680019128,0.0262770415675614,0.0079410025043732,0.0220107977498395,0.0410893394243717,0.0243893230641446,0.0080039264544871,0.0297252740338027,0.022438680610614,0.0150136544971747,0.0266168308981764,0.0003020349605466,0.0109361825297944,0.0209285058078805,0.043568543058859,0.010621562779225,0.0056002315601364,,0.0338153307912057,0.0198462138659216,0.0179710801525276,0.0078025698141226,0.0118297026214117,0.0085954115855576,,0.0209410905979033,,2.516958004555694e-05,0.0073998565333937,0.0113388958105234,0.0189526937743043
