sample,Category,IGLJ1,IGLJ2,IGLJ3,IGLJ4,IGLJ5,IGLJ6,IGLJ7
BW_15__IGL.csv,before,0.1674609380763385,0.4037947976452188,0.4210277822860262,0.000191805479735,0.0013721468934889,0.0049721882054384,0.0011803414137539
BW_1__IGL.csv,before,0.130108991825613,0.6125340599455041,0.238283378746594,,,0.006267029972752,0.0128065395095367
BW_2__IGL.csv,before,0.1442538735603612,0.3129298202005137,0.535897754577844,0.0001657138122462,0.00132571049797,0.0031485624326787,0.0022785649183859
BW_5__IGL.csv,before,0.1542690815006468,0.4095556771818091,0.4271942481838989,,0.0012065877201711,0.0066424519852721,0.0011319534282018
BW_8__IGL.csv,before,0.1353859311524481,0.3577934573444515,0.4979687834081676,8.552490912978404e-05,0.0026512721830233,0.0039769082745349,0.0021381227282446
BW_11__IGL.csv,before,0.1428761765181724,0.4920582049354283,0.35651950474414,0.0001903366102953,0.0010278176955946,0.0047869657489269,0.0025409937474423
BW_12__IGL.csv,before,0.0990280961673266,0.4757971316522365,0.4126896917568156,9.472746907148135e-05,0.0007767652463861,0.0058920485762461,0.0057215391319174
BW_13__IGL.csv,before,0.1701159364226958,0.375388256175122,0.443994402284596,0.0004437213429965,0.0031174268713094,0.005085729238961,0.0018545276643191
BW_17__IGL.csv,after,0.1393681259434979,0.2836154841492344,0.5744824239810222,,0.000107828337287,0.0011861117101574,0.0012400258788009
BW_16__IGL.csv,after,0.1481184278716752,0.3631910660848922,0.4815186318270725,0.0001170235886119,0.0010030593309594,0.0045304846448334,0.0015213066519551
BW_4__IGL.csv,after,0.1831481045769726,0.2987557610064634,0.5007681341951199,5.536102307170637e-05,0.0005674504864849,0.0036676677785005,0.0130375209333868
BW_9__IGL.csv,after,0.0789644012944983,0.3035598705501618,0.609816612729234,,0.0004314994606256,0.0021574973031283,0.0050701186623516
BW_6__IGL.csv,after,0.1177785570263873,0.2577364776014728,0.6194880336635399,,0.0006136582800035,0.0028929604628736,0.0014903129657228
BW_7__IGL.csv,after,0.0765801077902988,0.4002449779519843,0.4785399314061734,4.8995590396864285e-05,0.0019108280254777,0.0073493385595296,0.0353258206761391
BW_14__IGL.csv,after,0.1711876390349894,0.2606873717429168,0.5585714532066426,,0.0010174343409957,0.0067599027401748,0.0017761989342806
BW_10__IGL.csv,after,0.1011534447471502,0.2421014109706014,0.6494937583865328,0.0001355399232844,0.00338849808211,0.0032394041664972,0.0004879437238238
