sample,Category,IGKJ1,IGKJ2,IGKJ3,IGKJ4,IGKJ5
BW_15__IGK.csv,before,0.3593690025987427,0.2538147404718008,0.0984816546377805,0.1799739496485719,0.1083606526431038
BW_1__IGK.csv,before,0.3289648622981956,0.29335232668566,0.1056030389363722,0.1809116809116809,0.0911680911680911
BW_2__IGK.csv,before,0.5253503268619605,0.1844917584679477,0.084111380065537,0.1199426962406757,0.0861038383638788
BW_5__IGK.csv,before,0.3676617000823949,0.2745554106014831,0.1005561658884921,0.1749691018950837,0.082257621532546
BW_8__IGK.csv,before,0.341372480484679,0.3255854596295002,0.0713328672958173,0.1891238494698823,0.0725853431201211
BW_11__IGK.csv,before,0.2658792474504604,0.3215444496721802,0.1104016326829894,0.2045130975149245,0.0976615726794454
BW_12__IGK.csv,before,0.316648887164816,0.2708747514910536,0.1291276729864714,0.2054017359259079,0.0779469524317509
BW_13__IGK.csv,before,0.3271014203613008,0.2621972802687553,0.1004099547569554,0.1805152429802488,0.1297761016327397
BW_4__IGK.csv,after,0.3245437142898894,0.2538249090351146,0.1151272047111773,0.2098037496529452,0.0967004223108734
BW_17__IGK.csv,after,0.3164802604123195,0.2462440530840497,0.1075661463984642,0.223019781320424,0.1066897587847425
BW_9__IGK.csv,after,0.3291296744686575,0.2317729351627656,0.0701170298627925,0.3009819747107882,0.0679983857949959
BW_6__IGK.csv,after,0.3555811277330264,0.2542194092827004,0.0842203682393555,0.2144227080935941,0.0915563866513233
BW_7__IGK.csv,after,0.3599024195957383,0.2615254406053968,0.0558598028477546,0.2179627601314348,0.1047495768196754
BW_14__IGK.csv,after,0.1897464653342412,0.2254495934633716,0.2695638242480073,0.2679376777346097,0.0473024392197701
BW_16__IGK.csv,after,0.3486213875987872,0.2514676364125003,0.0994213439266307,0.2124818382618481,0.0880077938002334
BW_10__IGK.csv,after,0.3985800654501081,0.2091741083809418,0.1546175605968162,0.162682345110655,0.0749459204614787
