sample,Category,TRDJ1,TRDJ2,TRDJ3,TRDJ4
BW_1__TRD.csv,before,0.9335283898692512,0.00246868428271,0.0636371948431928,0.0003657310048459
BW_2__TRD.csv,before,0.9702419882275998,0.0039241334205362,0.0258338783518639,
BW_8__TRD.csv,before,0.9682741116751268,0.0215736040609137,0.0101522842639593,
BW_5__TRD.csv,before,0.982447817836812,0.0118595825426944,0.0037950664136622,0.0018975332068311
BW_11__TRD.csv,before,0.905645933014354,0.0824880382775119,0.0109090909090909,0.000956937799043
BW_12__TRD.csv,before,0.955004205214466,0.0079899074852817,0.0357443229604709,0.0012615643397813
BW_13__TRD.csv,before,0.4836430253860246,0.0018319811567652,0.5145249934572101,
BW_15__TRD.csv,before,0.4616051771298952,0.0013343118286743,0.5368603642671292,0.0002001467743011
BW_17__TRD.csv,after,0.7963478799133396,0.1797173217786031,0.0205302795832043,0.0034045187248529
BW_4__TRD.csv,after,0.9089219330855018,0.0181226765799256,0.0697026022304832,0.0032527881040892
BW_9__TRD.csv,after,0.8507194244604317,0.014388489208633,0.1312949640287769,0.0035971223021582
BW_6__TRD.csv,after,0.8526148969889065,0.0087163232963549,0.1347068145800317,0.0039619651347068
BW_7__TRD.csv,after,0.9442462087421944,0.0062444246208742,0.0468331846565566,0.0026761819803746
BW_16__TRD.csv,after,0.8935537583254044,0.0249167459562321,0.0790318744053282,0.0024976213130352
BW_14__TRD.csv,after,0.951219512195122,0.024390243902439,0.0195121951219512,0.0048780487804878
BW_10__TRD.csv,after,0.9225648213034338,0.0091100210231254,0.067624386825508,0.0007007708479327
