sample,Category,TRGJ1,TRGJP,TRGJP1,TRGJP2
BW_1__TRG.csv,before,0.5929030653926758,0.1319930380421269,0.0217738784498987,0.2533300181152985
BW_2__TRG.csv,before,0.9267344497607656,0.0238486842105263,0.0102422248803827,0.0391746411483253
BW_8__TRG.csv,before,0.8644507307873645,0.0101367279585101,0.0634134842055634,0.061999057048562
BW_5__TRG.csv,before,0.7028505244192781,0.0581687150119039,0.167942860819767,0.0710378997490508
BW_11__TRG.csv,before,0.7525224979547314,0.0970820834469593,0.0376329424597763,0.1127624761385328
BW_12__TRG.csv,before,0.426699716713881,0.0249055712936732,0.0225448536355051,0.5258498583569405
BW_13__TRG.csv,before,0.8688336520076482,0.0198852772466539,0.0070745697896749,0.1042065009560229
BW_15__TRG.csv,before,0.8809081977950005,0.012716952297784,0.0043117563584761,0.1020630935487392
BW_17__TRG.csv,after,0.5619708641598657,0.2918923041720692,0.014491648234307,0.1316451834337579
BW_4__TRG.csv,after,0.824865844309708,0.0540804237229075,0.027179594396822,0.0938741375705624
BW_16__TRG.csv,after,0.4939641744548286,0.174406152647975,0.0448792834890965,0.2867503894080997
BW_9__TRG.csv,after,0.8834993503681248,0.0537029016890428,0.0229536595928973,0.039844088349935
BW_6__TRG.csv,after,0.8579826732673267,0.0714727722772277,0.0176361386138613,0.0529084158415841
BW_7__TRG.csv,after,0.6369565217391304,0.0952898550724637,0.0094202898550724,0.2583333333333333
BW_10__TRG.csv,after,0.8335219672805845,0.0448605823644407,0.0302500257228109,0.0913674246321638
BW_14__TRG.csv,after,0.8715596330275229,0.0385321100917431,0.0293577981651376,0.0605504587155963
