sample,Category,TRGV1,TRGV10,TRGV2,TRGV3,TRGV4,TRGV5,TRGV5P,TRGV6,TRGV7,TRGV8,TRGV9
BW_1__TRG.csv,before,,,0.1165417539871416,0.16229176286719,0.306432706993926,0.1317443966895179,0.0002841615458388,,0.020033388981636,0.0417717472383049,0.2209000816964444
BW_2__TRG.csv,before,0.0002242822966507,,0.2091806220095693,0.1364383971291866,0.4169407894736842,0.0228020334928229,0.0001495215311004,,0.0167464114832535,0.1389055023923445,0.0586124401913875
BW_8__TRG.csv,before,0.0002357378595002,,0.2333804809052334,0.1461574728901461,0.1206977840641207,0.069071192833569,,,0.0233380480905233,0.1669024045261669,0.2402168788307402
BW_5__TRG.csv,before,6.43459236857345e-05,,0.3504279003925101,0.0330094588507818,0.1447139823692169,0.1692941252171675,0.0005147673894858,,0.0623512000514767,0.0665336850910494,0.1730905347146258
BW_11__TRG.csv,before,0.0004090537223888,,0.2249795473138805,0.1353967821107172,0.0462230706299427,0.0437687482956094,0.0001363512407962,,0.0096809380965366,0.0639487319334606,0.4754567766566676
BW_12__TRG.csv,before,,,0.2254485363550519,0.0489848914069877,0.4708451369216241,0.0267941454202077,0.0001180358829084,,0.0435552407932011,0.0705854579792256,0.1136685552407932
BW_13__TRG.csv,before,,,0.247227533460803,0.235755258126195,0.1017208413001912,0.0674952198852772,0.0005736137667304,,0.0151051625239005,0.0869980879541109,0.2451242829827916
BW_15__TRG.csv,before,,,0.2409671433249645,0.2740421351380853,0.0839428010042571,0.0559436742713677,5.457919441109049e-05,,0.009660517410763,0.0674053050976967,0.2679838445584543
BW_17__TRG.csv,after,,,0.3307146670734497,0.0887041415605217,0.1059415757760659,0.0413393333841812,7.627183281214248e-05,,0.0164747158874227,0.0741362214934024,0.342613072992144
BW_4__TRG.csv,after,6.969126768415918e-05,,0.2518642414105512,0.0731758310683671,0.2913094989197853,0.1161056519618091,0.0001393825353683,,0.0248100912955606,0.1018886333542407,0.1406369781866332
BW_16__TRG.csv,after,,,0.2960475077881619,0.0783197040498442,0.1787383177570093,0.0320288161993769,0.0001460280373831,,0.0426401869158878,0.0943827881619937,0.2776966510903427
BW_9__TRG.csv,after,,,0.3438718059766132,0.0931139021221307,0.1346903421394543,0.0640970116933737,0.0008661758336942,,0.0965786054569077,0.0783889129493287,0.1883932438284971
BW_6__TRG.csv,after,,,0.3149752475247525,0.0928217821782178,0.1188118811881188,0.0590965346534653,,,0.1225247524752475,0.0943688118811881,0.1974009900990099
BW_7__TRG.csv,after,,,0.2047101449275362,0.0844202898550724,0.1721014492753623,0.0126811594202898,,,0.0134057971014492,0.033695652173913,0.4789855072463768
BW_10__TRG.csv,after,,,0.2901533079534931,0.08488527626299,0.1231608190143018,0.0682168947422574,0.0001028912439551,,0.0921905545838049,0.1426072641218232,0.1986829920773742
BW_14__TRG.csv,after,,,0.1504587155963302,0.0660550458715596,0.1798165137614679,0.1486238532110091,,,0.055045871559633,0.326605504587156,0.073394495412844
