sample,therapy,IGHA-IGHG12_CSR1
BW_1,before,0.000929476
BW_2,before,0.012270892
BW_5,before,0.019252795
BW_8,before,0.016350365
BW_11,before,0.023850339
BW_12,before,0.006341329
BW_13,before,0.013799869
BW_15,before,0.015876052
BW_4,after,0.012746378
BW_6,after,0.011790258
BW_7,after,0.007975693
BW_9,after,0.017843289
BW_10,after,0.009078813
BW_14,after,0.022792845
BW_16,after,0.002029352
BW_17,after,0.001685003
