sample,therapy,top100IGH
BW_1,before,0.2044792833146696
BW_2,before,0.3076309199482649
BW_5,before,0.3352764767328234
BW_8,before,0.3874258428592099
BW_11,before,0.2119431662338928
BW_12,before,0.2280506589080951
BW_13,before,0.2503412399902936
BW_15,before,0.1773418303916674
BW_4,after,0.2448016942626107
BW_6,after,0.1200984161156389
BW_7,after,0.3590027700831025
BW_9,after,0.2499665103817816
BW_10,after,0.3087416962532681
BW_14,after,0.5390497604650927
BW_16,after,0.121902203340414
BW_17,after,0.3621372404819822
