sample,therapy,top20IGL
BW_1,before,0.3300421083200232
BW_2,before,0.1682866279559033
BW_5,before,0.2587752429873596
BW_8,before,0.2282033486596686
BW_11,before,0.2093280815123703
BW_12,before,0.1521663442940038
BW_13,before,0.1420926030361274
BW_15,before,0.1248372566331951
BW_4,after,0.1733642887294217
BW_6,after,0.1297348484848484
BW_7,after,0.2993901219756049
BW_9,after,0.2316550764951321
BW_10,after,0.2082457402080106
BW_14,after,0.2281122529367483
BW_16,after,0.1235333413268015
BW_17,after,0.2646700620017714
