sample,Category,TRGJ1,TRGJP,TRGJP1,TRGJP2
BW_1__TRG.csv,before,0.6195204650036329,0.1661419229837733,0.0278517800920319,0.1864858319205618
BW_2__TRG.csv,before,0.895007342143906,0.0374449339207048,0.0163974547234459,0.0511502692119432
BW_8__TRG.csv,before,0.8519184652278178,0.0203836930455635,0.0635491606714628,0.0641486810551558
BW_5__TRG.csv,before,0.7501641497045305,0.0602429415627051,0.116382140512147,0.0732107682206172
BW_11__TRG.csv,before,0.7345445369669442,0.0999242997728993,0.0418874589957103,0.1236437042644461
BW_12__TRG.csv,before,0.5586781160551653,0.034087952120739,0.0325266718709341,0.3747072599531616
BW_13__TRG.csv,before,0.8602554470323065,0.026671675432006,0.0135236664162283,0.099549211119459
BW_15__TRG.csv,before,0.8721663164878912,0.0175826606214751,0.0072984628994802,0.1029525599911533
BW_17__TRG.csv,after,0.5907603464870067,0.2675649663137632,0.0188642925890279,0.1228103946102021
BW_4__TRG.csv,after,0.8068764967499145,0.0668833390352377,0.0325008552856654,0.0937393089291823
BW_16__TRG.csv,after,0.5181538461538462,0.1699340659340659,0.0522197802197802,0.2596923076923076
BW_9__TRG.csv,after,0.8642745709828393,0.0600624024960998,0.0296411856474258,0.0460218408736349
BW_6__TRG.csv,after,0.8438120450033091,0.071475843812045,0.0258107213765718,0.0589013898080741
BW_7__TRG.csv,after,0.6580645161290323,0.1204301075268817,0.0114695340501792,0.2100358422939068
BW_10__TRG.csv,after,0.8197640688454845,0.0481531618642428,0.0357764455617868,0.0963063237284857
BW_14__TRG.csv,after,0.8284023668639053,0.0502958579881656,0.0473372781065088,0.0739644970414201
