sample,Category,IGLJ1,IGLJ2,IGLJ3,IGLJ4,IGLJ5,IGLJ6,IGLJ7
BW_15__IGL.csv,before,0.1673685241406326,0.3934237586916071,0.4284350210557242,0.0003182842033101,0.0019586720203701,0.0068553520712956,0.00164038781706
BW_1__IGL.csv,before,0.129907502569373,0.6133607399794451,0.2314491264131551,,,0.009044193216855,0.0162384378211716
BW_2__IGL.csv,before,0.1458559694032769,0.3205702116563084,0.5227954278760485,0.0003042287800425,0.0018688339345473,0.0057368855665174,0.0028684427832587
BW_5__IGL.csv,before,0.1604839156192901,0.386218924754997,0.4391506561098499,,0.001993245113781,0.0100492774486462,0.0021039809534355
BW_8__IGL.csv,before,0.1313017082316528,0.3632521873697994,0.4940182132015951,0.0001190405333015,0.0032736146657937,0.0051782631986191,0.0028569727992381
BW_11__IGL.csv,before,0.1495274938891775,0.4937929441653675,0.3442462035914314,0.0003079469561368,0.001751448313028,0.007275246838732,0.0030987162461266
BW_12__IGL.csv,before,0.1084779946697399,0.4825686090902543,0.3912338831664625,0.0001800763523734,0.0014045955485125,0.0084996038320247,0.0076352373406324
BW_13__IGL.csv,before,0.1634671765455704,0.3778202676864244,0.444308476736775,0.0007393244104525,0.0040790312300828,0.0073167622689611,0.0022689611217335
BW_17__IGL.csv,after,0.1455246195760515,0.2896537975945245,0.5594391653930494,,0.0002657983919197,0.0025250847232374,0.0025915343212173
BW_16__IGL.csv,after,0.155,0.35275956284153,0.4818579234972677,0.000191256830601,0.0015573770491803,0.0063661202185792,0.0022677595628415
BW_4__IGL.csv,after,0.1858308403589883,0.3038346478107152,0.4928474299700843,0.0001087843350557,0.0010062550992657,0.0058199619254827,0.0105520805004079
BW_9__IGL.csv,after,0.08399078405362,0.3083152970746352,0.5984779724917965,,0.0005585422048453,0.0027927110242267,0.0058646931508762
BW_6__IGL.csv,after,0.1183700223958048,0.2630687715081662,0.6124433276888622,,0.0007647348008958,0.0034959305183809,0.0018572130878898
BW_7__IGL.csv,after,0.0835283411336453,0.4265470618824753,0.4406526261050442,6.500260010400417e-05,0.0024700988039521,0.0087103484139365,0.0380265210608424
BW_14__IGL.csv,after,0.1645228115816351,0.2641036758683817,0.555523437876379,,0.0020715903068844,0.0112733053909524,0.0025051789757672
BW_10__IGL.csv,after,0.1075467059980334,0.2505530973451327,0.6317908062930186,0.0002458210422812,0.0032878564405113,0.0055924287118977,0.0009832841691248
