sample,therapy,IGHG12_SHM0
BW_1,before,0.06092363
BW_2,before,0.105170153
BW_5,before,0.082726681
BW_8,before,0.094924394
BW_11,before,0.088825217
BW_12,before,0.087955152
BW_13,before,0.096117587
BW_15,before,0.09191791
BW_4,after,0.037048475
BW_6,after,0.067482236
BW_7,after,0.099477766
BW_9,after,0.045324727
BW_10,after,0.077938891
BW_14,after,0.0693923
BW_16,after,0.099298213
BW_17,after,0.037097797
