sample,therapy,IGHG34_SHM0
BW_1,before,0.077183653
BW_2,before,0.102539787
BW_5,before,0.077776105
BW_8,before,0.09358371
BW_11,before,0.094748787
BW_12,before,0.076222466
BW_13,before,0.109607376
BW_15,before,0.083280801
BW_4,after,0.049042368
BW_6,after,0.062041697
BW_7,after,0.095995171
BW_9,after,0.053142615
BW_10,after,0.066198008
BW_14,after,0.118369242
BW_16,after,0.10970503
BW_17,after,0.030959574
