sample,therapy,IGH_SHM1
BW_1,before,0.014462169
BW_2,before,0.073594252
BW_5,before,0.067406308
BW_8,before,0.086742787
BW_11,before,0.09118809
BW_12,before,0.064563639
BW_13,before,0.083743411
BW_15,before,0.077365536
BW_4,after,0.064853947
BW_6,after,0.050728757
BW_7,after,0.075336194
BW_9,after,0.05820355
BW_10,after,0.064465591
BW_14,after,0.082913811
BW_16,after,0.054543419
BW_17,after,0.022512696
