sample,therapy,IGHG34_SHM1
BW_1,before,0.072828134
BW_2,before,0.107414648
BW_5,before,0.078307413
BW_8,before,0.083514518
BW_11,before,0.095400638
BW_12,before,0.078816639
BW_13,before,0.106769862
BW_15,before,0.086775014
BW_4,after,0.044146064
BW_6,after,0.062304331
BW_7,after,0.099829539
BW_9,after,0.055325909
BW_10,after,0.064061636
BW_14,after,0.116294521
BW_16,after,0.099635797
BW_17,after,0.029585794
