sample,Category,TRGV1,TRGV10,TRGV2,TRGV3,TRGV4,TRGV5,TRGV5P,TRGV6,TRGV7,TRGV8,TRGV9
BW_1__TRG.csv,before,,,0.1347783967062242,0.1516105594574957,0.2643497214821991,0.1210946960523129,0.0009687575684185,,0.0270041172196657,0.0508597723419714,0.2493339791717122
BW_2__TRG.csv,before,0.000734214390602,,0.2116984826235927,0.1392559960841899,0.3619676945668135,0.0389133627019089,0.0002447381302006,,0.027165932452276,0.1304454233969652,0.0895741556534508
BW_8__TRG.csv,before,0.000599520383693,,0.224820143884892,0.1660671462829736,0.1498800959232614,0.0785371702637889,,,0.0329736211031175,0.145083932853717,0.2020383693045563
BW_5__TRG.csv,before,0.0001641497045305,,0.2944845699277741,0.0521996060407091,0.1769533814839133,0.1503611293499671,0.0011490479317137,,0.0728824688115561,0.0878200919238345,0.1639855548260013
BW_11__TRG.csv,before,0.0007570022710068,,0.2419883926318445,0.1367650769618975,0.0547564976028261,0.0492051476154428,0.0002523340903356,,0.0156447136008074,0.080999242997729,0.41963159222811
BW_12__TRG.csv,before,,,0.2648972157168878,0.0754618787405672,0.3200624512099922,0.0353890189955763,0.0002602133749674,,0.0601092896174863,0.1033047098620869,0.1405152224824356
BW_13__TRG.csv,before,,,0.2445529676934635,0.1953418482344102,0.1258452291510143,0.0830202854996243,0.0011269722013523,,0.0225394440270473,0.0987978963185574,0.2287753568745304
BW_15__TRG.csv,before,,,0.257657856905894,0.2311179918168749,0.1073758708393232,0.0695565630874709,0.0001105827712042,,0.0136016808581223,0.0777396881565852,0.242839765564525
BW_17__TRG.csv,after,,,0.2764196342637151,0.0954764196342637,0.129740134744947,0.0573628488931665,0.0001924927815206,,0.0273339749759384,0.0831568816169393,0.3303176130895091
BW_4__TRG.csv,after,0.0001710571330824,,0.2384536435169346,0.0880944235374615,0.2553882996920971,0.1139240506329113,0.0003421142661648,,0.0393431406089633,0.1069107081765309,0.1573725624358535
BW_16__TRG.csv,after,,,0.2974945054945055,0.0895824175824175,0.1512967032967033,0.0354285714285714,0.0002637362637362,,0.0494065934065934,0.0949450549450549,0.2815824175824176
BW_9__TRG.csv,after,,,0.328393135725429,0.0920436817472698,0.15600624024961,0.0733229329173166,0.0015600624024961,,0.0873634945397816,0.0764430577223088,0.1848673946957878
BW_6__TRG.csv,after,,,0.3024487094639311,0.0919920582395764,0.1522170747849106,0.0774321641297154,,,0.0966247518199867,0.086035737921906,0.1932495036399735
BW_7__TRG.csv,after,,,0.2086021505376344,0.0924731182795698,0.1655913978494623,0.0186379928315412,,,0.0222222222222222,0.0387096774193548,0.453763440860215
BW_10__TRG.csv,after,,,0.2699671243473216,0.0982401856507445,0.1419454650937923,0.0839296074260297,0.0001933861922258,,0.0843163798104815,0.1342100174047573,0.187197834074647
BW_14__TRG.csv,after,,,0.1568047337278106,0.0769230769230769,0.2071005917159763,0.1242603550295858,,,0.059171597633136,0.272189349112426,0.1035502958579881
