sample,category,MAIT_Sum
BW_13__TRA.csv,before,731.0
BW_12__TRA.csv,before,555.0
BW_11__TRA.csv,before,136.0
BW_8__TRA.csv,before,218.0
BW_5__TRA.csv,before,860.0
BW_2__TRA.csv,before,498.0
BW_1__TRA.csv,before,266.0
BW_15__TRA.csv,before,1567.0
BW_10__TRA.csv,after,982.0
BW_14__TRA.csv,after,37.0
BW_16__TRA.csv,after,4174.0
BW_7__TRA.csv,after,287.0
BW_6__TRA.csv,after,460.0
BW_9__TRA.csv,after,170.0
BW_17__TRA.csv,after,679.0
BW_4__TRA.csv,after,505.0
