sample,category,iNKT_Sum
BW_13__TRA.csv,before,14.0
BW_12__TRA.csv,before,7.0
BW_11__TRA.csv,before,41.0
BW_8__TRA.csv,before,10.0
BW_5__TRA.csv,before,8.0
BW_2__TRA.csv,before,2.0
BW_1__TRA.csv,before,5.0
BW_15__TRA.csv,before,49.0
BW_10__TRA.csv,after,42.0
BW_14__TRA.csv,after,12.0
BW_16__TRA.csv,after,29.0
BW_7__TRA.csv,after,1.0
BW_6__TRA.csv,after,43.0
BW_9__TRA.csv,after,41.0
BW_17__TRA.csv,after,6.0
BW_4__TRA.csv,after,4.0
